KODE PROVINSI,KODE KAB_KOTA,PROVINSI,KAB_KOTA,PAGU
18,18 09 ,SULAWESI TENGAH,KAB. TOJO UNA-UNA,196063647000
18,18 12 ,SULAWESI TENGAH,KAB. SIGI,164844770000
18,18 13 ,SULAWESI TENGAH,KAB. BANGGAI LAUT,43769178000
18,18 14 ,SULAWESI TENGAH,KAB. MOROWALI UTARA,115792362000
18,18 51 ,SULAWESI TENGAH,KOTA PALU,4340570629000
19,19 00 ,SULAWESI SELATAN,SULAWESI SELATAN,20383484852000
19,19 01 ,SULAWESI SELATAN,KAB. PINRANG,391142853000
19,19 02 ,SULAWESI SELATAN,KAB. GOWA,739373597000
19,19 03 ,SULAWESI SELATAN,KAB. WAJO,199597379000
19,19 05 ,SULAWESI SELATAN,KAB. BONE,1201750801000
19,19 06 ,SULAWESI SELATAN,KAB. TANATORAJA,240469268000
19,19 07 ,SULAWESI SELATAN,KAB. MAROS,416568904000
19,19 09 ,SULAWESI SELATAN,KAB. LUWU,224170722000
19,19 10 ,SULAWESI SELATAN,KAB. SINJAI,237105705000
19,19 11 ,SULAWESI SELATAN,KAB. BULUKUMBA,279554201000
19,19 12 ,SULAWESI SELATAN,KAB. BANTAENG,220390579000
19,19 13 ,SULAWESI SELATAN,KAB. JENEPONTO,213533977000
19,19 14 ,SULAWESI SELATAN,KAB. KEPULAUAN SELAYAR,242734634000
19,19 15 ,SULAWESI SELATAN,KAB. TAKALAR,311036836000
19,19 16 ,SULAWESI SELATAN,KAB. BARRU,191861789000
19,19 17 ,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,195892367000
19,19 18 ,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,335864862000
19,19 19 ,SULAWESI SELATAN,KAB. SOPPENG,161927293000
19,19 21 ,SULAWESI SELATAN,KAB. ENREKANG,173392998000
19,19 22 ,SULAWESI SELATAN,KAB. LUWU UTARA,217415092000
19,19 24 ,SULAWESI SELATAN,KAB. LUWU TIMUR,161674809000
19,19 25 ,SULAWESI SELATAN,KAB. TORAJA UTARA,112970834000
19,19 51 ,SULAWESI SELATAN,KOTA MAKASSAR,12886852827000
19,19 52 ,SULAWESI SELATAN,KOTA PARE-PARE,664853318000
19,19 53 ,SULAWESI SELATAN,KOTA PALOPO,363349207000
20,20 00 ,SULAWESI TENGGARA,SULAWESI TENGGARA,6524765034000
20,20 02 ,SULAWESI TENGGARA,KAB. BUTON,238601247000
20,20 03 ,SULAWESI TENGGARA,KAB. MUNA,247073234000
20,20 04 ,SULAWESI TENGGARA,KAB. KOLAKA,354409930000
20,20 05 ,SULAWESI TENGGARA,KAB. KONAWE SELATAN,247269227000
